Geographic Location,Payee Name of Record,Address1 of Record,Address 2 of Record,City of Record,State of Record,Zip of Record
"Dallas, TX",PIONEER PARKWAY OWNER LLC,"C/O VAULTCAP PARTNERS 6060 N. CENTRAL EXPY, STE 500 DALLAS, TX 75206",,,,
"Dallas, TX",DMC PROPERTY LLC,"C/O JACKIE PERRY 540 GAITHER RD, STE 100 ROCKVILLE, MD 20850",,,,
"Cook County, Illinois",WRIGHT FOUNDATION,445 E OHIO ST,,CHICAGO,IL,60611
"Cook County, Illinois",CINTAS CORP,6001 W 73RD ST,,BEDFORD PARK,IL,60638
"Dallas, TX",B10 JUPITER TRADE CENTER (TX),"OWNER LP, ET AL C/O POPP HUTCHESON PLLC 1301 S MOPAC EXPWY STE 430",,,,
"Cook County, Illinois",HOWARD BROWN HEALTH,6500 N CLARK ST,,CHICAGO,IL,60626
"Dallas, TX",JP BANNER LP,C/O TRINITY NATIONAL PROPERTY  MANAGEMENT LLC 12770 COIT RD STE 200,,,,
"Dallas, TX",NEXMETRO TRADITONS LP,"C/O MICHAEL LANG PO BOX 261330 PLANO, TX 75026",,,,
State of California,JULIA LEE PERFORMING ARTS,,,,,
San Jose California,"BEAR ELECTRICAL SOLUTIONS, LLC","1252 STATE ST, P O BOX 924,  ALVISO CA  95002",,,,
"Dallas, TX",INMAR RX SOLUTIONS INC,"C/O THE COLE LAW FIRM PLLC 14053 MEMORIAL DR #298 HOUSTON, TX 77079",,,,
San Jose California,"SOLARCITY LMC SERIES I,LLC","P.O.BOX 3500, DRAPER,   UT  84020",,,,
State of California,INTERNATIONAL RESCUE COMMITTEE,,,,,
"Dallas, TX",BG VICTORIEN RIVECHASE LLC AND ET AL,"C/O LANG LAW OFFICE PC 3900 AMERICAN DR SUITE 102 PLANO, TX 75075",,,,
"Cook County, Illinois",IL INST OF TECHNOLOGY,6502  ARCHER AVE,,BEDFORD PARK,IL,60638
"Cook County, Illinois",THE PRIVATE BANK,7401  NORTH AVE,,RIVER FOREST,IL,60305
"Dallas, TX",MACK MESQUITE LLC,C/O HUDSON ADVISORS ATTN: STEVE MILLS 6688 N CENTRAL EXPY STE 1400,,,,
"Dallas, TX",GPIF 2401 CS LLC,"C/O KLINE LAW FIRM PLLC PO BOX 806 FORT WORTH, TX 76101-0806",,,,
